student's_degree_program,s1_hs_guidance_counselor,s2_hs_teacher,s3_ccm_it_site,s4_ccm_admissions,s5_ccm_advisor,s6_employer,s7_ccm_workforce_development,s8_nj_workforce_development,s9_other,changed_majors,interest,e1_ms/hs_class,e2_ms/hs_club,e3_computing_comp,e4_comp_camp/program,e5_comp_summer_camp/program,e6_ap_class,e7_dual_enrollment,e8_fam/friend,e9_fam/friend_comp_field,e10_hs_teacher/guide,e11_employer,e12_ccm_student,e13_work,e14_other,m1_job,m2_bachelor's,m3_hs,m4_career_advancement,m5_career_change,m6_development,m7_job_displacement,m8_relocation,m9_keep_in_touch,m10_certifications,m11_finance,m12_enrichment
Mechanical Engineering Technologies ,,,,,,,,,,,2.0,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,,,,,,,,,,,,
CIS Game Development Option,Don't recall,Don't recall,No,No,No,No,No,No,Don't recall,First Choice,,,,,,,,,,,,,,,High Impact,Yes,No,No,No,No,No,No,No,No,No,No,Yes
Computer Science,No,No,No,Yes,No,No,No,No,No,First Choice,,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,No Impact,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No
Mechanical Engineering,,,,,,,,,,,3.0,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,,,,,,,,,,,,
Computer Science,Don't recall,Don't recall,No,No,No,Yes,No,No,Yes,First Choice,,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes
Undecided,,,,,,,,,,,4.0,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,High Impact,No Impact,,,,,,,,,,,,
Business Admin,,,,,,,,,,,2.0,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,,,,,,,,,,,,
Undecided,,,,,,,,,,,3.0,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,,,,,,,,,,,,
"Technical Studies, Applied Associate of Science",Yes,Yes,Don't recall,Yes,Yes,Yes,No,No,No,First Choice,,No Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,Some Impact,No Impact,High Impact,No Impact,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes
Computer Science,No,No,No,No,No,No,No,No,No,First Choice,,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No
Information Security Certificate of Achievement,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Business,,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,High Impact,No Impact,No Impact,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes
electrical engineering technology,,,,,,,,,,,1.0,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,,,,,,,,,,,,
Computer Science,No,No,No,No,No,No,No,No,No,First Choice,,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,High Impact,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes
Information Security Certificate of Achievement,No,No,No,No,No,No,No,No,Yes,Engineering,,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes
Computer Science,No,No,No,No,No,No,No,No,No,Business,,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes
Computer Science,No,No,No,No,No,No,No,No,Yes,First Choice,,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,High Impact,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes
Liberal Arts,,,,,,,,,,,4.0,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,,,,,,,,,,,,
Computer Science,No,No,No,Yes,No,No,No,No,No,First Choice,,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes
Electronical Engineer,,,,,,,,,,,5.0,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,,,,,,,,,,,,
Information Technology,No,No,Yes,Yes,Yes,No,No,No,No,Cybersecurity,,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Computer Science,No,No,No,Yes,No,No,No,No,No,Data Analytics and Statistics,,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes
Computer Science,No,No,No,Don't recall,No,No,No,No,No,First Choice,,Some Impact,High Impact,Some Impact,Some Impact,,,,,,,,,,High Impact,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes
Computer Science,No,No,No,No,Don't recall,No,No,No,No,,,,,,,,,,,,,High Impact,,High Impact,,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No
"Technical Studies, Applied Associate of Science",No,Yes,Yes,Yes,Yes,No,No,No,No,Engineering,,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes
Non Degree seeking,,,,,,,,,,,2.0,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,,,,,,,,,,,,
Non Degree seeking,,,,,,,,,,,3.0,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,,,,,,,,,,,,
Computer Science,No,No,No,No,No,No,No,No,No,First Choice,,High Impact,,,,Some Impact,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No
Mechanical Engineering,,,,,,,,,,,4.0,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,,,,,,,,,,,,
Computer Science,No,No,Yes,Yes,Yes,No,No,No,No,First Choice,,High Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,High Impact,High Impact,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes
Computer Science,Yes,Yes,Yes,Yes,Yes,No,No,No,No,First Choice,,High Impact,Some Impact,High Impact,High Impact,Some Impact,High Impact,No Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No
Computer Science,No,No,No,No,No,No,No,No,No,First Choice,,High Impact,High Impact,High Impact,No Impact,No Impact,High Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No
Computer Science,Yes,Yes,No,No,No,No,No,No,No,First Choice,,High Impact,Some Impact,,,,High Impact,,Some Impact,High Impact,Some Impact,,,,,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No
Computer Science,No,No,No,No,No,No,No,No,No,First Choice,,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,High Impact,No Impact,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
Information Technology,No,No,Yes,No,No,No,No,No,No,Nursing,,High Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes
Information Technology,No,No,Yes,Yes,No,No,No,No,No,First Choice,,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Information Technology,No,No,Yes,No,No,No,No,No,Yes,Engineering,,Some Impact,Some Impact,Some Impact,,No Impact,,,,,,Some Impact,,Some Impact,High Impact,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Computer Science,Yes,Yes,Yes,No,No,No,No,No,No,Business,,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,Some Impact,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes
Computer Science,Don't recall,Don't recall,Yes,Yes,No,No,No,No,No,First Choice,,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes
Computer Science,Don't recall,Don't recall,No,Yes,No,No,No,No,No,First Choice,,High Impact,No Impact,,,,High Impact,,Some Impact,,Some Impact,,,,,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Information Technology,No,No,No,Yes,Yes,No,No,No,Don't recall,Computer science,,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Computer Science,No,No,Yes,Yes,No,No,No,No,No,Nursing/Radiology,,,,,,,,,Some Impact,,,,High Impact,Some Impact,,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
Information Technology,No,No,No,No,No,No,No,No,No,First Choice,,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes
cyberseucirty,,,,,,,,,,,5.0,No Impact,Some Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,High Impact,Some Impact,Some Impact,High Impact,,,,,,,,,,,,
ShareTime CSIP Program,No,No,No,No,No,No,No,No,No,First Choice,,,,,,,,High Impact,,,,,,,,No,No,Yes,No,No,No,No,No,No,No,No,No
cybersecurity,,,,,,,,,,,4.0,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,,,,,,,,,,,,
Information Technology,No,No,No,No,No,No,No,No,No,Science,,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes
ShareTime CSIP Program,No,No,No,No,No,No,No,No,No,First Choice,,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes
Information Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,First Choice,,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ShareTime CSIP Program,No,Yes,No,No,No,No,No,No,Yes,First Choice,,,,Some Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes
ShareTime CSIP Program,Yes,No,No,No,No,No,No,No,No,First Choice,,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,No,Yes,No,No,No,No,No,No,No,No,No
Challenger Program,No,No,No,No,No,No,No,No,No,Business,,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
Computer Science,Yes,Yes,No,No,No,No,No,Yes,Don't recall,First Choice,,Some Impact,High Impact,,,,,High Impact,No Impact,,Some Impact,,,,,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No
Information Technology,No,No,No,No,Yes,Yes,Yes,No,No,Science,,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Yes,No,No,No,No,No,No,No,No,No,No,No
ShareTime CSIP Program,Yes,Yes,No,No,No,No,No,No,No,First Choice,,Some Impact,Some Impact,High Impact,No Impact,No Impact,,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No
ShareTime CSIP Program,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Business,,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No
ShareTime CSIP Program,Yes,No,No,No,No,No,No,No,No,First Choice,,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
Information Technology,Yes,Yes,No,No,No,No,No,No,No,First Choice,,High Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No
ShareTime CSIP Program,Yes,Yes,No,No,No,No,No,No,No,,,,,,,,,High Impact,,,High Impact,,,,,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
Information Technology,Yes,Yes,No,No,No,No,No,No,No,First Choice,,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No
Computer Science,No,No,No,No,No,No,No,No,No,First Choice,,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Some Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No
Challenger Program,No,No,No,No,No,No,No,No,No,First Choice,,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No
Computer Science,No,No,Yes,Yes,No,No,No,No,No,First Choice,,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes
CIS Game Development Option,No,No,No,No,No,No,No,No,No,First Choice,,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,Yes,No,No,No,No,No,No,No,No,No,Yes
electrical engineering  ,,,,,,,,,,,4.0,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,,,,,,,,,,,,
Business Administration,,,,,,,,,,,2.0,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,,,,,,,,,,,,
Mechanical engineering technology ,,,,,,,,,,,3.0,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,,,,,,,,,,,,
Computer Science,No,No,No,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Engineering,,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Computer Science,No,No,No,No,No,No,No,No,Yes,First Choice,,High Impact,High Impact,High Impact,High Impact,No Impact,High Impact,No Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,High Impact,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes
CIS Game Development Option,Yes,No,Yes,Don't recall,Don't recall,No,No,No,No,First Choice,,Some Impact,High Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes
Computer Science,No,No,Yes,Yes,Yes,Don't recall,Don't recall,No,No,First Choice,,,,,,,,,High Impact,,,,,,,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes
Electronics Technolgies Engineering,,,,,,,,,,,2.0,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,,,,,,,,,,,,
CIS Game Development Option,Yes,No,Yes,Yes,Yes,No,No,No,Don't recall,First Choice,,Some Impact,Some Impact,Some Impact,,,,High Impact,,High Impact,High Impact,,,Some Impact,,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes
Computer Science,No,Yes,No,No,No,No,No,No,No,First Choice,,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No
Computer Science,No,No,No,Don't recall,Don't recall,No,No,No,Don't recall,Science,,High Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes
Information Technology,Don't recall,Don't recall,Yes,Don't recall,Don't recall,No,Don't recall,Don't recall,No,First Choice,,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes
Non Degree seeking,,,,,,,,,,,4.0,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,,,,,,,,,,,,
Data Science,,,,,,,,,,,5.0,High Impact,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Science,No,No,No,No,No,No,No,No,No,LIberal Arts,,Some Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No
Business,,,,,,,,,,,3.0,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,,,,,,,,,,,,
Computer Science,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,First Choice,,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Computer Science,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,First Choice,,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,,,,,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes
Computer Science,No,No,No,No,Yes,No,No,No,No,First Choice,,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes
High School,,,,,,,,,,,5.0,,,,,,,,Some Impact,,,,,,No Impact,,,,,,,,,,,,
Computer Science,No,No,Yes,No,No,No,No,No,No,Business,,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes
mechanical engineering,,,,,,,,,,,3.0,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,,,,,,,,,,,,
Information Technology,No,No,No,No,No,No,No,No,No,First Choice,,Some Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes
Computer Science,No,No,No,No,No,No,No,No,No,First Choice,,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No,No,No,No,No,Yes,No,No,No,No,No,Yes
Computer Science,No,No,No,No,No,No,No,No,Yes,First Choice,,High Impact,,,,,,High Impact,High Impact,,,,,,High Impact,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes
Mechanical Engineering,,,,,,,,,,,4.0,Some Impact,,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,,,,,,,,,,,,
Fire Science Technology,,,,,,,,,,,1.0,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,,,,,,,,,,,,
Information Technology,No,No,No,No,No,No,No,No,Yes,First Choice,,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes
Undecided,,,,,,,,,,,4.0,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,,,,,,,,,,,,
Information Technology,No,No,No,No,No,No,No,No,No,Biology,,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No
Information Security Certificate of Achievement,Yes,Yes,No,No,No,No,No,No,No,First Choice,,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Yes,No,No,No,No,No,No,No,No,No,Yes,No
Information Security Certificate of Achievement,Yes,Yes,Yes,Yes,Yes,No,Don't recall,No,Don't recall,Exercise Science,,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,High Impact,No Impact,Some Impact,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes
